ID	age	sex	n_babies	site	year	pop_size	weight
480	0	m	1	2	1981	131	1.707467832309505
484	0	m	0	1	1981	131	1.4162638500784643
510	0	f	1	2	1981	131	3.3954097065446387
521	0	f	2	3	1981	131	3.1455655604518116
532	1	f	0	2	1981	131	NA
561	0	m	2	1	1981	131	2.3421257436322316
565	0	f	0	3	1981	131	3.087304471031831
568	0	f	0	1	1981	131	2.8572350459926534
571	0	m	1	1	1981	131	2.5331123882396778
576	1	m	2	1	1981	131	3.847208437913946
612	0	m	1	2	1981	131	1.929064627106427
628	0	m	0	1	1981	131	3.381143133551327
642	1	f	0	1	1981	131	4.718339942875569
711	0	f	0	2	1981	131	4.054193343359282
726	1	f	2	2	1981	131	3.8426337133391355
739	1	m	2	2	1981	131	2.408675753300047
756	0	m	2	3	1981	131	2.884306937724081
767	0	m	0	1	1981	131	2.8014582842623397
779	0	m	2	1	1981	131	2.344890559898166
782	0	m	2	1	1981	131	2.1754461940060317
810	1	m	2	2	1981	131	2.805928077482694
817	0	f	0	2	1981	131	3.298115848920719
834	1	f	2	1	1981	131	4.816532210152674
849	1	m	0	1	1981	131	NA
878	1	m	2	2	1981	131	2.5865616253297543
882	1	f	2	3	1981	131	4.340332830885896
887	0	f	0	3	1981	131	3.767847897398847
38	1	f	2	1	1982	147	3.4482896935045977
42	2	m	2	1	1982	147	2.769837637399804
49	2	f	0	3	1982	147	4.562387982220785
63	0	m	2	1	1982	147	0.9892785597599101
75	1	m	0	3	1982	147	2.7420907125705827
80	1	f	0	2	1982	147	4.815242837029383
112	0	f	2	2	1982	147	3.275606355195084
127	1	m	1	2	1982	147	3.118091319020983
132	1	m	1	3	1982	147	2.551409422631894
144	2	f	1	2	1982	147	NA
146	2	f	0	3	1982	147	5.349085366447836
168	0	f	2	2	1982	147	2.9791766468282805
201	2	f	2	2	1982	147	5.046123967225195
214	1	f	1	3	1982	147	3.7927578791508925
230	2	m	0	2	1982	147	2.025875148368681
233	1	m	2	1	1982	147	3.299991689322227
255	2	m	1	2	1982	147	NA
256	2	m	1	1	1982	147	3.1536094179937386
259	2	f	0	3	1982	147	4.3792967344336615
277	0	m	0	2	1982	147	1.0592145978716552
302	1	m	1	3	1982	147	2.980464985108313
303	0	m	1	1	1982	147	3.3387691446807155
319	1	f	1	3	1982	147	5.448768035656149
332	2	f	0	3	1982	147	5.594173541446683
337	0	f	2	1	1982	147	NA
353	0	f	2	1	1982	147	4.65403968383378
397	2	f	1	1	1982	147	4.507302364236635
401	0	f	0	3	1982	147	3.3790896257877376
427	0	f	0	3	1982	147	2.4897015151013617
454	1	f	2	3	1982	147	3.851558164358262
462	2	f	0	3	1982	147	3.421780698250194
480	1	m	0	2	1982	147	2.5323602277168833
484	1	m	0	1	1982	147	0.787110548954581
509	0	m	2	1	1982	147	1.725095401164006
510	1	f	2	2	1982	147	3.047772062693426
521	1	f	1	3	1982	147	4.23311224728346
532	2	f	1	2	1982	147	4.026493236786096
540	0	m	2	3	1982	147	1.5586962093454453
561	1	m	1	1	1982	147	2.9812762617470208
565	1	f	0	3	1982	147	3.3139272429564484
568	1	f	1	1	1982	147	2.990290241887899
570	0	f	0	1	1982	147	3.4553735562065233
571	1	m	1	1	1982	147	2.7832550450123326
576	2	m	1	1	1982	147	3.18257616147299
580	0	f	1	1	1982	147	4.093750962823468
598	0	m	2	2	1982	147	2.160762678649483
612	1	m	0	2	1982	147	2.492719172519255
628	1	m	0	1	1982	147	3.4176973223176907
642	2	f	2	1	1982	147	5.499568013633896
683	0	m	1	1	1982	147	NA
691	0	m	2	3	1982	147	1.0834739931085478
711	1	f	2	2	1982	147	3.9815526929425076
717	0	m	2	3	1982	147	2.2356054647094523
725	0	m	1	3	1982	147	2.313390900096909
726	2	f	0	2	1982	147	4.1217097822457855
739	2	m	1	2	1982	147	2.3214609084922375
754	0	m	0	2	1982	147	2.6020556254906246
756	1	m	1	3	1982	147	2.814337637237739
767	1	m	0	1	1982	147	3.15845222909905
779	1	m	1	1	1982	147	2.804486833983449
782	1	m	2	1	1982	147	NA
790	0	m	2	1	1982	147	2.601935459771747
806	0	m	0	2	1982	147	3.332767677324202
810	2	m	1	2	1982	147	3.1250599327299673
817	1	f	1	2	1982	147	NA
818	0	m	2	3	1982	147	3.9785251583904335
834	2	f	2	1	1982	147	4.5877611100047195
849	2	m	2	1	1982	147	2.0769023684744155
878	2	m	1	2	1982	147	NA
882	2	f	2	3	1982	147	NA
887	1	f	2	3	1982	147	3.8074440011860418
38	2	f	2	1	1983	131	5.778647133359127
42	3	m	2	1	1983	131	4.495043549369044
49	3	f	1	3	1983	131	5.5562364933618165
63	1	m	0	1	1983	131	2.261522481856819
75	2	m	0	3	1983	131	4.470271638483229
79	0	f	0	1	1983	131	NA
80	2	f	2	2	1983	131	6.184496384565209
92	0	m	0	3	1983	131	4.71258609711732
112	1	f	2	2	1983	131	3.6917718717837316
127	2	m	2	2	1983	131	5.133636136762937
132	2	m	1	3	1983	131	3.7998889457716944
144	3	f	1	2	1983	131	5.431246420373244
146	3	f	1	3	1983	131	6.072878739812785
162	0	f	2	3	1983	131	5.096270669309995
168	1	f	1	2	1983	131	5.357008298028454
184	0	m	1	1	1983	131	3.5753632345609003
193	0	m	0	2	1983	131	4.615396006678821
201	3	f	1	2	1983	131	6.852769885257592
230	3	m	2	2	1983	131	4.516940577705297
233	2	m	0	1	1983	131	4.156154545770027
255	3	m	1	2	1983	131	4.298783328339106
256	3	m	1	1	1983	131	5.2775157755511986
259	3	f	1	3	1983	131	6.173807730866414
277	1	m	1	2	1983	131	3.4363796188049114
303	1	m	1	1	1983	131	NA
319	2	f	1	3	1983	131	NA
332	3	f	1	3	1983	131	7.568990470605158
337	1	f	1	1	1983	131	5.112326564830301
353	1	f	2	1	1983	131	5.121862498078832
364	0	m	1	3	1983	131	3.54960276681809
373	0	m	0	1	1983	131	2.2732307428009024
377	0	m	0	2	1983	131	2.4772973192430467
388	0	f	2	3	1983	131	3.124669993350099
397	3	f	1	1	1983	131	5.305771486370921
401	1	f	0	3	1983	131	5.307049573587083
412	0	m	2	3	1983	131	2.8408980012112073
427	1	f	1	3	1983	131	3.996108093157864
439	0	f	2	3	1983	131	3.5704273723838322
443	0	f	1	2	1983	131	4.803439302942282
462	3	f	0	3	1983	131	6.858298020309242
480	2	m	0	2	1983	131	4.293867805129085
484	2	m	2	1	1983	131	3.8203734244766725
509	1	m	1	1	1983	131	3.2065877117632997
510	2	f	2	2	1983	131	4.771844121579271
514	0	m	1	2	1983	131	2.6681623574509548
521	2	f	1	3	1983	131	NA
526	0	m	0	1	1983	131	3.046611194089131
532	3	f	1	2	1983	131	4.514101534313946
535	0	m	1	2	1983	131	3.5337118830852425
540	1	m	1	3	1983	131	2.919594984303198
561	2	m	1	1	1983	131	4.204753459505484
565	2	f	0	3	1983	131	5.519588271669575
568	2	f	2	1	1983	131	4.524131875597505
570	1	f	0	1	1983	131	4.432662419580559
571	2	m	0	1	1983	131	4.4069366202160145
576	3	m	1	1	1983	131	4.5069747536600016
580	1	f	0	1	1983	131	4.856669595066202
598	1	m	0	2	1983	131	4.399692009157704
612	2	m	0	2	1983	131	3.8992210012628066
616	0	f	0	1	1983	131	4.813392284693454
628	2	m	2	1	1983	131	5.145591233605334
636	0	f	0	2	1983	131	3.7023744158636847
642	3	f	1	1	1983	131	NA
669	0	f	1	3	1983	131	NA
683	1	m	1	1	1983	131	4.388783477210362
691	1	m	0	3	1983	131	3.4815745370474565
709	0	m	2	3	1983	131	2.682496069596017
711	2	f	2	2	1983	131	5.992889369326093
717	1	m	0	3	1983	131	4.2781596902093275
725	1	m	2	3	1983	131	5.093283521100384
726	3	f	0	2	1983	131	6.0815987476647555
732	0	m	0	2	1983	131	3.469923371167115
739	3	m	0	2	1983	131	4.37342797027274
754	1	m	2	2	1983	131	3.5581971805213715
755	0	m	1	2	1983	131	3.5110337318355302
756	2	m	2	3	1983	131	4.097639405108203
767	2	m	1	1	1983	131	4.319304598064535
779	2	m	1	1	1983	131	4.211232632637272
782	2	m	0	1	1983	131	4.849479083117222
790	1	m	2	1	1983	131	4.673980538071838
806	1	m	0	2	1983	131	4.637535366827955
810	3	m	1	2	1983	131	4.4415496984599105
813	0	m	2	1	1983	131	3.1929193605873225
817	2	f	2	2	1983	131	5.08457138873482
818	1	m	2	3	1983	131	4.30829042182517
828	0	f	1	1	1983	131	4.439491659906638
834	3	f	0	1	1983	131	5.951186798462747
849	3	m	2	1	1983	131	5.3436808805762155
878	3	m	1	2	1983	131	4.668734337572761
882	3	f	0	3	1983	131	6.244190243676271
887	2	f	1	3	1983	131	5.908598495493749
42	4	m	2	1	1984	144	5.571397730872334
49	4	f	2	3	1984	144	5.676754872404864
63	2	m	0	1	1984	144	2.9613127520740328
75	3	m	1	3	1984	144	4.1832912851460575
77	0	f	1	2	1984	144	4.565826925527611
79	1	f	0	1	1984	144	4.172705233728091
80	3	f	1	2	1984	144	5.544559570882378
92	1	m	2	3	1984	144	4.957129586474546
127	3	m	1	2	1984	144	NA
132	3	m	1	3	1984	144	4.264242736411604
144	4	f	0	2	1984	144	5.525090572958447
146	4	f	1	3	1984	144	5.588681495904396
162	1	f	0	3	1984	144	4.787316825214824
168	2	f	0	2	1984	144	4.454965206003534
183	0	m	2	3	1984	144	2.8570133079895967
184	1	m	0	1	1984	144	2.484667395044957
187	0	m	0	3	1984	144	2.431252356389739
193	1	m	0	2	1984	144	4.412496133168901
201	4	f	0	2	1984	144	6.318567659241867
230	4	m	0	2	1984	144	4.4458204237164605
233	3	m	0	1	1984	144	3.972236703798895
252	0	f	2	2	1984	144	3.2076439090096316
255	4	m	1	2	1984	144	5.136373649565225
256	4	m	2	1	1984	144	5.125661614490294
259	4	f	2	3	1984	144	5.755966420334101
277	2	m	1	2	1984	144	3.212243469661399
303	2	m	0	1	1984	144	4.113535703443318
319	3	f	1	3	1984	144	4.982580229890782
325	0	f	0	1	1984	144	3.4736582342736018
332	4	f	2	3	1984	144	7.152204213875343
337	2	f	0	1	1984	144	5.467858523073093
342	0	f	0	1	1984	144	3.408687223400845
353	2	f	0	1	1984	144	5.193980017671891
364	1	m	0	3	1984	144	3.350436245658738
371	0	m	1	1	1984	144	1.1157440853339822
377	1	m	1	2	1984	144	1.7024443799314453
387	0	f	2	1	1984	144	3.4738476599987314
388	1	f	0	3	1984	144	3.9359627299576694
397	4	f	0	1	1984	144	5.524534433650421
401	2	f	0	3	1984	144	5.036629229660077
408	0	m	2	1	1984	144	2.286297302323834
412	1	m	2	3	1984	144	3.2354026718576288
427	2	f	1	3	1984	144	3.3195687002215104
439	1	f	2	3	1984	144	NA
462	4	f	0	3	1984	144	6.225184343056205
469	0	f	0	1	1984	144	4.259337619403393
480	3	m	0	2	1984	144	3.4214071114538203
484	3	m	2	1	1984	144	3.2233298469125393
509	2	m	0	1	1984	144	2.894829774898847
510	3	f	2	2	1984	144	4.415004358169656
514	1	m	2	2	1984	144	NA
521	3	f	0	3	1984	144	5.781894547160917
526	1	m	1	1	1984	144	3.4263142330795264
532	4	f	2	2	1984	144	4.969227894477461
535	1	m	2	2	1984	144	3.9664695603213644
540	2	m	1	3	1984	144	3.583954213751923
546	0	m	2	1	1984	144	2.6478732940586527
561	3	m	0	1	1984	144	4.575672659532963
565	3	f	1	3	1984	144	5.411217399447596
568	3	f	1	1	1984	144	4.5787289420864585
570	2	f	2	1	1984	144	4.151384307080657
571	3	m	1	1	1984	144	3.814160576717151
576	4	m	2	1	1984	144	4.713800673554844
580	2	f	0	1	1984	144	5.447816947076258
592	0	m	0	3	1984	144	1.558050807929423
597	0	m	1	1	1984	144	1.8235342833886994
598	2	m	1	2	1984	144	4.545408923706381
616	1	f	0	1	1984	144	NA
628	3	m	1	1	1984	144	4.760008415776
636	1	f	0	2	1984	144	4.231448715186733
637	0	m	0	2	1984	144	2.958729111209806
642	4	f	1	1	1984	144	5.245605981755007
643	0	f	2	1	1984	144	3.019540133133545
669	1	f	1	3	1984	144	4.045981787933767
683	2	m	0	1	1984	144	3.8690071797621846
691	2	m	1	3	1984	144	NA
709	1	m	0	3	1984	144	2.9343714343463017
711	3	f	1	2	1984	144	5.147921968232771
717	2	m	2	3	1984	144	4.36755617058906
725	2	m	0	3	1984	144	3.5087036364395874
726	4	f	0	2	1984	144	NA
732	1	m	2	2	1984	144	NA
735	0	m	0	3	1984	144	2.321774996733087
739	4	m	2	2	1984	144	4.506449214463701
754	2	m	1	2	1984	144	3.7483292491179876
755	1	m	2	2	1984	144	3.9118308632513665
756	3	m	0	3	1984	144	5.104176460878421
767	3	m	0	1	1984	144	4.380434667599913
779	3	m	2	1	1984	144	4.729741367147614
782	3	m	0	1	1984	144	4.564254667598858
790	2	m	0	1	1984	144	3.7515304845777275
798	0	m	2	3	1984	144	3.9026777160186135
806	2	m	1	2	1984	144	4.513282863471307
810	4	m	0	2	1984	144	4.620793962146532
813	1	m	2	1	1984	144	4.278907244439907
817	3	f	1	2	1984	144	5.216920808519691
818	2	m	1	3	1984	144	4.173087585655266
828	1	f	0	1	1984	144	4.9284162897470924
834	4	f	2	1	1984	144	NA
835	0	f	1	1	1984	144	3.4393032595369135
849	4	m	2	1	1984	144	4.748706523710482
877	0	f	1	3	1984	144	1.4727415703046463
878	4	m	2	2	1984	144	4.413778137089996
882	4	f	1	3	1984	144	NA
887	3	f	0	3	1984	144	5.245491876475414
901	0	m	0	3	1984	144	2.624848777522586
42	5	m	2	1	1985	143	4.899457918835849
49	5	f	0	3	1985	143	5.443313365923837
63	3	m	1	1	1985	143	2.6963925900380095
64	0	f	2	3	1985	143	2.963625968769656
75	4	m	1	3	1985	143	4.348551426225383
77	1	f	1	2	1985	143	4.46406362568021
79	2	f	2	1	1985	143	4.061221441817978
80	4	f	1	2	1985	143	6.4030470040502765
83	0	m	2	1	1985	143	2.461977672370257
92	2	m	1	3	1985	143	NA
99	0	m	2	2	1985	143	1.7924253086501165
127	4	m	0	2	1985	143	5.240472988641937
132	4	m	0	3	1985	143	5.031287752368055
144	5	f	1	2	1985	143	5.147325512075933
146	5	f	1	3	1985	143	NA
162	2	f	1	3	1985	143	NA
168	3	f	1	2	1985	143	NA
184	2	m	0	1	1985	143	2.330699463557841
187	1	m	1	3	1985	143	NA
193	2	m	0	2	1985	143	4.946883919844005
198	0	m	2	2	1985	143	1.039013876798431
201	5	f	2	2	1985	143	6.328587427284177
233	4	m	0	1	1985	143	NA
252	1	f	1	2	1985	143	3.7266417331346338
255	5	m	2	2	1985	143	5.00265176619587
256	5	m	0	1	1985	143	5.768810937256566
259	5	f	1	3	1985	143	6.022278096312289
277	3	m	0	2	1985	143	3.9995818813693265
303	3	m	0	1	1985	143	4.469516541033412
316	0	f	1	2	1985	143	4.047553947711749
319	4	f	0	3	1985	143	6.634659958455523
325	1	f	1	1	1985	143	NA
332	5	f	2	3	1985	143	7.086404684296291
342	1	f	1	1	1985	143	2.516521797029851
343	0	m	2	3	1985	143	3.748372292442653
353	3	f	0	1	1985	143	NA
364	2	m	0	3	1985	143	NA
371	1	m	2	1	1985	143	1.5474666390982568
377	2	m	2	2	1985	143	2.708326723245217
380	0	f	0	3	1985	143	3.6757196616087495
387	1	f	1	1	1985	143	4.402015149331332
388	2	f	2	3	1985	143	3.942723512296878
397	5	f	0	1	1985	143	5.957119158854336
401	3	f	1	3	1985	143	4.872783533676296
408	1	m	2	1	1985	143	NA
410	0	m	0	3	1985	143	2.0516876131892308
412	2	m	1	3	1985	143	2.7535814230168283
427	3	f	2	3	1985	143	2.960253646189243
439	2	f	0	3	1985	143	4.651410329480171
442	0	f	0	3	1985	143	3.953243234727092
462	5	f	0	3	1985	143	6.50390350139863
470	0	m	1	3	1985	143	3.0968479549461514
480	4	m	2	2	1985	143	3.9070913049573024
484	4	m	0	1	1985	143	3.136343727229671
496	0	f	2	3	1985	143	3.395166193145984
509	3	m	0	1	1985	143	3.5957812845526034
514	2	m	2	2	1985	143	3.067978529780455
521	4	f	0	3	1985	143	4.634642151202383
526	2	m	0	1	1985	143	3.729092501523986
532	5	f	1	2	1985	143	5.526112028010144
535	2	m	0	2	1985	143	3.4489210474178744
540	3	m	1	3	1985	143	3.557092045211935
546	1	m	2	1	1985	143	3.7101810086640064
561	4	m	0	1	1985	143	5.0962095612608005
565	4	f	2	3	1985	143	5.528409501423791
568	4	f	2	1	1985	143	4.821341704940332
570	3	f	1	1	1985	143	5.602226693179058
571	4	m	2	1	1985	143	4.109812828694579
576	5	m	0	1	1985	143	5.578201926160255
580	3	f	1	1	1985	143	5.297541597037368
592	1	m	2	3	1985	143	1.7052498283858095
597	1	m	1	1	1985	143	2.1742093732601715
598	3	m	2	2	1985	143	4.488010270706379
616	2	f	2	1	1985	143	5.238201042863298
628	4	m	2	1	1985	143	5.12109744828432
636	2	f	0	2	1985	143	3.747191421361848
637	1	m	1	2	1985	143	3.3026865191123993
642	5	f	1	1	1985	143	7.050260848770284
643	1	f	1	1	1985	143	NA
669	2	f	0	3	1985	143	3.4898970925267756
671	0	m	1	3	1985	143	2.4633095087896972
683	3	m	1	1	1985	143	4.042133634670873
691	3	m	2	3	1985	143	3.5818191579775998
705	0	m	0	2	1985	143	2.079828082805324
709	2	m	2	3	1985	143	2.691459522992195
711	4	f	1	2	1985	143	6.34149246205503
717	3	m	1	3	1985	143	4.482476906365899
719	0	m	0	3	1985	143	1.8114175129995158
725	3	m	0	3	1985	143	4.500147079089321
726	5	f	2	2	1985	143	6.374718247980264
732	2	m	0	2	1985	143	3.8098214267698505
735	1	m	1	3	1985	143	NA
739	5	m	0	2	1985	143	4.689646278475176
754	3	m	1	2	1985	143	3.4282334073024314
761	0	f	0	2	1985	143	3.537259387325427
767	4	m	0	1	1985	143	4.386633299204517
779	4	m	0	1	1985	143	4.006512198315506
782	4	m	1	1	1985	143	3.99369245034249
790	3	m	2	1	1985	143	4.129901413952068
798	1	m	2	3	1985	143	3.444788185262566
805	0	m	2	3	1985	143	2.652142449395599
806	3	m	2	2	1985	143	3.9294097050369956
810	5	m	1	2	1985	143	5.099949389772482
813	2	m	2	1	1985	143	4.088604151424823
814	0	m	1	1	1985	143	1.364289125789045
817	4	f	1	2	1985	143	5.3052747118584875
818	3	m	2	3	1985	143	4.370964887152328
828	2	f	1	1	1985	143	5.140680140860313
834	5	f	2	1	1985	143	6.703117480306996
835	1	f	1	1	1985	143	4.353062839867355
849	5	m	1	1	1985	143	4.032984171807836
851	0	m	1	1	1985	143	3.486830369139542
861	0	f	2	3	1985	143	4.019176515027308
877	1	f	0	3	1985	143	2.0740725907022934
878	5	m	0	2	1985	143	4.356849192825879
882	5	f	1	3	1985	143	7.455796386419683
887	4	f	0	3	1985	143	6.703879413032986
901	1	m	2	3	1985	143	1.6138573680424946
42	6	m	0	1	1986	148	5.662730514840777
49	6	f	0	3	1986	148	6.737055840018672
63	4	m	1	1	1986	148	4.488587030934062
64	1	f	2	3	1986	148	4.727090920098789
75	5	m	1	3	1986	148	5.591572344914754
77	2	f	1	2	1986	148	5.521513412284614
79	3	f	1	1	1986	148	5.9947590843173
80	5	f	2	2	1986	148	8.213047782279286
83	1	m	1	1	1986	148	3.308248534917502
92	3	m	0	3	1986	148	5.593324090019614
93	0	m	1	3	1986	148	3.1483447065444907
99	1	m	0	2	1986	148	3.0383364782391533
127	5	m	0	2	1986	148	6.6087055257266805
132	5	m	0	3	1986	148	4.856604700800231
135	0	f	2	2	1986	148	3.4652135213908473
144	6	f	2	2	1986	148	7.109122210163386
146	6	f	0	3	1986	148	7.588355180090978
157	0	m	2	2	1986	148	2.2519820431535984
162	3	f	1	3	1986	148	6.291927107562751
163	0	m	0	2	1986	148	2.146387490609968
167	0	m	2	3	1986	148	3.7764693235300313
168	4	f	1	2	1986	148	NA
184	3	m	0	1	1986	148	4.748374371521634
187	2	m	1	3	1986	148	4.191692592161726
193	3	m	2	2	1986	148	5.835230016480478
194	0	m	0	3	1986	148	2.5265417621556066
198	1	m	1	2	1986	148	2.834241461818604
201	6	f	1	2	1986	148	7.682889824555624
233	5	m	2	1	1986	148	5.515444309075943
243	0	f	1	1	1986	148	4.507198391516437
252	2	f	0	2	1986	148	4.454443065551031
255	6	m	0	2	1986	148	5.656812303664708
256	6	m	1	1	1986	148	6.389782183877573
259	6	f	1	3	1986	148	7.394791843008227
262	0	m	1	1	1986	148	2.884990243843461
277	4	m	0	2	1986	148	4.879209810985564
292	0	m	1	2	1986	148	0.9618435615342089
303	4	m	0	1	1986	148	5.591159885560154
316	1	f	0	2	1986	148	5.243288791843944
319	5	f	1	3	1986	148	7.590144464741834
325	2	f	2	1	1986	148	5.0676427730810225
332	6	f	0	3	1986	148	8.74586602984257
342	2	f	1	1	1986	148	4.409503428391169
343	1	m	2	3	1986	148	4.816207211347293
346	0	f	0	1	1986	148	4.607894611385561
353	4	f	1	1	1986	148	8.2979123823531
354	0	f	0	1	1986	148	NA
364	3	m	0	3	1986	148	4.377473858296257
371	2	m	2	1	1986	148	3.0092945191730176
377	3	m	1	2	1986	148	3.660531135868123
380	1	f	2	3	1986	148	4.7475942798023745
387	2	f	2	1	1986	148	NA
388	3	f	1	3	1986	148	5.614492567997735
397	6	f	0	1	1986	148	NA
401	4	f	0	3	1986	148	NA
406	0	m	2	3	1986	148	2.0402158603292238
408	2	m	1	1	1986	148	3.9119689048038326
410	1	m	0	3	1986	148	3.4720878705134846
412	3	m	2	3	1986	148	3.9738669751153957
439	3	f	2	3	1986	148	NA
442	1	f	0	3	1986	148	4.699479042906856
450	0	m	0	2	1986	148	3.07903563256511
462	6	f	1	3	1986	148	NA
470	1	m	0	3	1986	148	3.2006652216188165
480	5	m	0	2	1986	148	6.0667253473553995
496	1	f	2	3	1986	148	4.787757135404152
509	4	m	1	1	1986	148	4.042973466176703
514	3	m	0	2	1986	148	NA
521	5	f	0	3	1986	148	6.386833515833487
526	3	m	2	1	1986	148	4.748691231497513
532	6	f	1	2	1986	148	6.961156996726482
535	3	m	2	2	1986	148	4.343954526802323
540	4	m	0	3	1986	148	4.978436672361562
546	2	m	0	1	1986	148	4.619999221154727
550	0	f	2	3	1986	148	3.015433523535828
552	0	f	1	1	1986	148	4.344390613012955
561	5	m	1	1	1986	148	6.199928709048561
565	5	f	2	3	1986	148	6.728591409379881
568	5	f	0	1	1986	148	6.25662270573355
570	4	f	2	1	1986	148	5.47448442248466
575	0	f	2	1	1986	148	4.038278269175
576	6	m	1	1	1986	148	6.310813082213665
580	4	f	1	1	1986	148	6.4993708923016245
592	2	m	2	3	1986	148	3.493807135610593
597	2	m	0	1	1986	148	3.422565475706662
598	4	m	2	2	1986	148	4.329064719494771
616	3	f	0	1	1986	148	6.747263730703331
628	5	m	2	1	1986	148	6.415869593547723
636	3	f	0	2	1986	148	4.430951162715776
642	6	f	2	1	1986	148	7.695210202023655
643	2	f	2	1	1986	148	4.509191088316316
669	3	f	0	3	1986	148	5.452582729513078
671	1	m	1	3	1986	148	3.448950837608663
683	4	m	2	1	1986	148	5.387181887982795
691	4	m	0	3	1986	148	NA
705	1	m	2	2	1986	148	3.0174127189199025
709	3	m	1	3	1986	148	4.138495446724532
711	5	f	2	2	1986	148	7.450648895783923
717	4	m	2	3	1986	148	4.608509633344917
718	0	m	0	1	1986	148	2.473546273111161
719	1	m	2	3	1986	148	NA
725	4	m	2	3	1986	148	6.184955912211141
726	6	f	0	2	1986	148	7.580047155409802
732	3	m	2	2	1986	148	4.114652391234809
735	2	m	2	3	1986	148	3.9454269360081486
739	6	m	0	2	1986	148	5.534274583783478
754	4	m	2	2	1986	148	5.248558717994358
767	5	m	0	1	1986	148	5.281758356867289
778	0	f	0	1	1986	148	3.8114398741403615
779	5	m	0	1	1986	148	5.520997327957013
782	5	m	0	1	1986	148	NA
790	4	m	1	1	1986	148	5.433131153100488
798	2	m	2	3	1986	148	NA
805	1	m	2	3	1986	148	2.713840744923735
806	4	m	2	2	1986	148	4.70883762306978
810	6	m	0	2	1986	148	6.829180688977171
813	3	m	1	1	1986	148	4.099315895457833
814	1	m	0	1	1986	148	2.602395509440224
817	5	f	2	2	1986	148	5.7640058841804365
818	4	m	0	3	1986	148	6.9580285996645665
828	3	f	1	1	1986	148	6.043025140136987
832	0	m	0	1	1986	148	2.0226301891850738
834	6	f	1	1	1986	148	7.710248851307267
835	2	f	2	1	1986	148	4.7137712589208425
846	0	m	2	2	1986	148	2.849485682377191
849	6	m	0	1	1986	148	5.956078527983086
851	1	m	1	1	1986	148	3.656900500398716
861	1	f	1	3	1986	148	5.992476193635423
877	2	f	0	3	1986	148	3.9345216254619615
878	6	m	0	2	1986	148	5.894499493192746
882	6	f	0	3	1986	148	8.476144605229681
887	5	f	2	3	1986	148	NA
901	2	m	0	3	1986	148	3.2340520449559604
905	0	m	2	1	1986	148	1.9559873648178374
32	0	f	2	1	1987	140	3.031269627469299
42	7	m	2	1	1987	140	6.831643865541783
49	7	f	2	3	1987	140	8.154532550013972
63	5	m	2	1	1987	140	4.77404096676873
64	2	f	2	3	1987	140	5.59638574599956
68	0	f	2	2	1987	140	5.333032230043281
73	0	f	0	1	1987	140	3.5414535985427897
75	6	m	2	3	1987	140	6.133996433010646
77	3	f	1	2	1987	140	6.44046776637317
79	4	f	2	1	1987	140	6.444213554513471
80	6	f	2	2	1987	140	8.329168765397538
83	2	m	0	1	1987	140	4.308721761519598
92	4	m	2	3	1987	140	6.728016960547859
93	1	m	0	3	1987	140	3.778708379471382
